r rdf
1.218750000000000042e-02 0.000000000000000000e+00
3.656249999999999778e-02 0.000000000000000000e+00
6.093750000000000555e-02 0.000000000000000000e+00
8.531249999999999944e-02 0.000000000000000000e+00
1.096875000000000072e-01 0.000000000000000000e+00
1.340625000000000011e-01 0.000000000000000000e+00
1.584375000000000089e-01 0.000000000000000000e+00
1.828125000000000167e-01 0.000000000000000000e+00
2.071874999999999967e-01 0.000000000000000000e+00
2.315625000000000044e-01 0.000000000000000000e+00
2.559374999999999845e-01 0.000000000000000000e+00
2.803125000000000200e-01 0.000000000000000000e+00
3.046875000000000000e-01 0.000000000000000000e+00
3.290625000000000355e-01 0.000000000000000000e+00
3.534375000000000155e-01 0.000000000000000000e+00
3.778124999999999956e-01 0.000000000000000000e+00
4.021875000000000311e-01 0.000000000000000000e+00
4.265625000000000111e-01 0.000000000000000000e+00
4.509374999999999911e-01 0.000000000000000000e+00
4.753125000000000266e-01 0.000000000000000000e+00
4.996875000000000067e-01 0.000000000000000000e+00
5.240624999999999867e-01 0.000000000000000000e+00
5.484375000000000222e-01 0.000000000000000000e+00
5.728125000000000577e-01 0.000000000000000000e+00
5.971874999999999822e-01 0.000000000000000000e+00
6.215625000000000178e-01 0.000000000000000000e+00
6.459375000000000533e-01 0.000000000000000000e+00
6.703124999999999778e-01 0.000000000000000000e+00
6.946875000000000133e-01 0.000000000000000000e+00
7.190625000000000488e-01 0.000000000000000000e+00
7.434374999999999734e-01 0.000000000000000000e+00
7.678125000000000089e-01 0.000000000000000000e+00
7.921875000000000444e-01 0.000000000000000000e+00
8.165625000000000799e-01 0.000000000000000000e+00
8.409375000000000044e-01 0.000000000000000000e+00
8.653125000000000400e-01 0.000000000000000000e+00
8.896875000000000755e-01 0.000000000000000000e+00
9.140625000000000000e-01 0.000000000000000000e+00
9.384375000000000355e-01 0.000000000000000000e+00
9.628125000000000711e-01 5.645473674751776832e-02
9.871874999999999956e-01 2.505266064678427274e+00
1.011562500000000142e+00 3.465844712011768358e+00
1.035937499999999956e+00 2.990772700871441536e+00
1.060312499999999991e+00 1.922381122005993426e+00
1.084687500000000027e+00 1.403122221185497676e+00
1.109062500000000062e+00 9.802031215503085315e-01
1.133437500000000098e+00 7.912768747353701171e-01
1.157812500000000133e+00 5.164122761430834929e-01
1.182187499999999947e+00 1.379358000944506391e-01
1.206562499999999982e+00 1.351492182743607440e-01
1.230937500000000018e+00 1.545518288186996381e-01
1.255312500000000053e+00 8.660046996221172633e-02
1.279687500000000089e+00 6.371320290077006621e-02
1.304062500000000124e+00 8.336306921596081665e-02
1.328437499999999938e+00 0.000000000000000000e+00
1.352812499999999973e+00 0.000000000000000000e+00
1.377187500000000009e+00 1.973417788961904368e-02
1.401562500000000044e+00 1.939097479588654249e-02
1.425937500000000080e+00 1.905950514125600084e-02
